symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 21:00:19.857000-11:00,205000008290,2562,835,496,572,759
CS2503,2025-02-12 21:00:20.085000-11:00,205000008290,2562,864,505,593,776
CS2503,2025-02-12 21:00:20.378000-11:00,205000008290,2562,868,505,597,776
CS2503,2025-02-12 21:00:20.587000-11:00,205000008290,2562,871,505,599,777
CS2503,2025-02-12 21:00:20.862000-11:00,205000008290,2562,871,506,600,777
CS2503,2025-02-12 21:00:21.088000-11:00,205000008290,2562,872,506,601,777
CS2503,2025-02-12 21:00:21.366000-11:00,205000008290,2562,880,515,607,788
CS2503,2025-02-12 21:00:21.617000-11:00,205000008290,2562,890,516,607,799
CS2503,2025-02-12 21:00:21.860000-11:00,205000008290,2562,891,516,608,799
CS2503,2025-02-12 21:00:22.084000-11:00,205000008290,2562,901,520,609,812
CS2503,2025-02-12 21:00:22.382000-11:00,205000008290,2562,901,521,610,812
CS2503,2025-02-12 21:00:22.584000-11:00,205000008290,2562,905,524,610,819
CS2503,2025-02-12 21:00:22.861000-11:00,205000008290,2562,906,525,610,821
CS2503,2025-02-12 21:00:23.084000-11:00,205000008290,2562,914,528,617,825
CS2503,2025-02-12 21:00:23.380000-11:00,205000008290,2562,917,537,619,835
CS2503,2025-02-12 21:00:23.586000-11:00,205000008290,2562,919,538,620,837
CS2503,2025-02-12 21:00:23.863000-11:00,205000008290,2562,920,538,620,838
CS2503,2025-02-12 21:00:24.087000-11:00,205000008290,2562,957,540,638,859
CS2503,2025-02-12 21:00:24.380000-11:00,205000008290,2562,970,541,638,873
CS2503,2025-02-12 21:00:24.583000-11:00,205000008290,2562,998,550,638,910
CS2503,2025-02-12 21:00:24.863000-11:00,205000008290,2562,1000,550,638,912
CS2503,2025-02-12 21:00:25.081000-11:00,205000008290,2562,1006,557,638,925
CS2503,2025-02-12 21:00:25.377000-11:00,205000008290,2562,1009,557,640,926
CS2503,2025-02-12 21:00:25.582000-11:00,205000008290,2562,1011,562,641,932
CS2503,2025-02-12 21:00:25.857000-11:00,205000008290,2562,1011,563,642,932
CS2503,2025-02-12 21:00:26.085000-11:00,205000008290,2562,1017,589,673,933
CS2503,2025-02-12 21:00:26.366000-11:00,205000008290,2562,1021,589,676,934
CS2503,2025-02-12 21:00:26.855000-11:00,205000008290,2562,1027,593,680,940
CS2503,2025-02-12 21:00:27.084000-11:00,205000008290,2562,1027,596,681,942
CS2503,2025-02-12 21:00:27.361000-11:00,205000008290,2562,1027,599,681,945
CS2503,2025-02-12 21:00:27.595000-11:00,205000008290,2562,1028,600,681,947
CS2503,2025-02-12 21:00:27.855000-11:00,205000008290,2562,1029,606,681,954
CS2503,2025-02-12 21:00:28.079000-11:00,205000008290,2562,1047,610,684,973
CS2503,2025-02-12 21:00:28.586000-11:00,205000008290,2562,1048,610,684,974
CS2503,2025-02-12 21:00:28.859000-11:00,205000008290,2562,1050,610,684,976
CS2503,2025-02-12 21:00:29.082000-11:00,205000008290,2562,1070,610,693,987
CS2503,2025-02-12 21:00:29.361000-11:00,205000008290,2562,1072,610,694,988
